hash,short,date,author,subject,action,batch,value,risk,port,fork-overlap-files,notes
c3260e8e01e4704b57137d787ffe9cfec7941cbc,c3260e8e01,2026-08-01,Rajarshee Chatterjee,fix: resolve chapter download queue and removal issues (closes #1937),PORT,A3,HIGH,YELLOW,MANUAL,,Chapter download queue/removal. Fork has live bugs: deleteReadChaptersFromDb passes novelId twice (wrong folder); deleteDownloads UPDATE without WHERE wipes all flags.
c0877a9b0656e22c3c788854006fb456c3ed704a,c0877a9b06,2026-08-01,Rajarshee Chatterjee,feat: add ignorable app update notifications,PORT,B,HIGH,YELLOW,MANUAL,,Ignorable app update notifications (ignore-version persistence in useGithubUpdateChecker-like hook).
96fb52df1730912c40ee6918cf6a6fcd74e31cc8,96fb52df17,2026-08-01,Patrick Loser,feat: enhance stats with genre taxonomy and charts (#1919),PORT,D,HIGH,RED,MANUAL-rewrite,,Stats overhaul: genre taxonomy + SVG charts (#1919) - needs react-native-svg + raw-SQL stats rewrite.
76106317b68e8aade12b868afb16dda4671ceb16,76106317b6,2026-07-31,Rajarshee Chatterjee,fix: restore midnight dusk chip contrast (closes #1939),PORT,A1,MEDIUM,GREEN,DIRECT,,Midnight Dusk chip contrast (1-line SelectableChip).
e75f4fba5da08e2317cfed2fe92b8de09457475c,e75f4fba5d,2026-07-29,K1ngfish3r,feat: add more novel statuses and icons (#1931),PORT,A3,MEDIUM,YELLOW,MANUAL,"src/plugins/types/index.ts,src/screens/novel/components/Info/NovelInfoHeader.tsx",More novel statuses + icons (NovelStatus enum + getStatusIcon; skip .husky hunk).
4dc933ee5a361eb0535120fa192c1eb51ba8cc70,4dc933ee5a,2026-07-29,Rajarshee Chatterjee,fix: remove white flash during screen transitions (closes #1926) (#1927),PORT,B-stretch,MEDIUM,YELLOW,MANUAL,App.tsx,Remove white flash during screen transitions; replace config-plugin hunk with native res windowBackground change.
bfb12b04aa31e3013f50503697253b549ee9618c,bfb12b04aa,2026-07-29,Rajarshee Chatterjee,feat: add configurable automatic backup scheduling,SKIP,SKIP-NATIVE,-,-,-,"src/hooks/persisted/useSettings.ts,src/screens/settings/SettingsBackupScreen/index.tsx",Automatic backup scheduling needs upstream BackgroundTaskScheduler/WorkManager + expo native-file changes - fork would need from-scratch reimplementation on background-actions.
b7639ab55a308c55617f0088c193052b9e0bd2b2,b7639ab55a,2026-07-29,Patrick Loser,feat: upload javascript source maps (#1924),SKIP,SKIP-CI,-,-,-,src/components/AppErrorBoundary/AppErrorBoundary.tsx,Dev-tooling/CI.
ecc5b84a64ac1aa841583acb43d7ac8aab5a72c5,ecc5b84a64,2026-07-29,github-actions[bot],chore: release v2.1.2,SKIP,SKIP-RELEASE,-,-,-,package.json,Version bump; fork has own numbering (v2.1.3).
eb12bdfd623bd28c2c3f88f585fefca9352711a4,eb12bdfd62,2026-07-29,Rajarshee Chatterjee,fix: prevent novel genre rendering crashes,PORT,A3,HIGH,YELLOW,MANUAL,"src/screens/novel/components/EditInfoModal.tsx,src/screens/novel/components/Info/NovelInfoComponents.tsx","Novel genre rendering crash (parseGenres helper; fork has same split("","") pattern)."
9612bf6f893d0078c566f9651405097b7f8d1f24,9612bf6f89,2026-07-29,Rajarshee Chatterjee,chore: update translations (#1928),SKIP,SKIP-I18N,-,-,-,,Crowdin sync; fork strings at strings/languages with custom keys - manual per-key diff only.
0ed7d878b4b75e1f6ebc83d0978f05cad5920014,0ed7d878b4,2026-07-29,Rajarshee Chatterjee,fix: prevent white reader drawer seam,PORT,A1,LOW,YELLOW,MANUAL-trivial,src/screens/reader/ReaderScreen.tsx,White reader drawer seam; tiny hunk in fork-critical ReaderScreen.
5f45e4c7f2d4f77da3b73bdfdfcdb5b477fd6849,5f45e4c7f2,2026-07-28,Rajarshee Chatterjee,fix: recover interrupted chapter migrations,SKIP,SKIP-DRIZZLE,-,-,-,src/database/db.ts,Drizzle migration SQL; fork MigrationRunner already covers.
ca24671a2f847c5722009b6b8451e9c54d3a2c12,ca24671a2f,2026-07-28,Rajarshee Chatterjee,fix: support fork-safe preview builds,SKIP,SKIP-CI,-,-,-,,CI/preview flavor infra (fork has no preview variant).
